,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
188,Guitar Hero II,Xbox360,03-Apr-07,2007-04-03,2007
189,Prince of Persia: The Sands of Time,PlayStation2,06-Nov-03,2003-11-06,2003
190,Uncharted 3: Drake's Deception,PlayStation3,01-Nov-11,2011-11-01,2011
191,Rock Band,Xbox360,20-Nov-07,2007-11-20,2007
192,Journey,PlayStation4,21-Jul-15,2015-07-21,2015
193,Bloodborne,PlayStation4,24-Mar-15,2015-03-24,2015
194,Eternal Darkness: Sanity's Requiem,GameCube,23-Jun-02,2002-06-23,2002
195,Warcraft III: Reign of Chaos,PC,03-Jul-02,2002-07-03,2002
196,SSX 3,GameCube,20-Oct-03,2003-10-20,2003
197,The Sims,PC,04-Feb-00,2000-02-04,2000
198,Banjo-Kazooie,Nintendo64,31-May-98,1998-05-31,1998
199,Sid Meier's Gettysburg!,PC,30-Sep-97,1997-09-30,1997
200,Celeste,Switch,25-Jan-18,2018-01-25,2018
201,Rock Band 2,Wii,18-Dec-08,2008-12-18,2008
202,Forza Motorsport,Xbox,03-May-05,2005-05-03,2005
203,Madden NFL 2004,Xbox,12-Aug-03,2003-08-12,2003
204,Super Street Fighter IV,PlayStation3,27-Apr-10,2010-04-27,2010
205,World Soccer Winning Eleven 7 International,PC,09-Apr-04,2004-04-09,2004
206,Advance Wars,GameBoyAdvance,09-Sep-01,2001-09-09,2001
207,Vagrant Story,PlayStation,15-May-00,2000-05-15,2000
208,What Remains of Edith Finch,XboxOne,19-Jul-17,2017-07-19,2017
209,Team Fortress 2,PC,10-Oct-07,2007-10-10,2007
210,System Shock 2,PC,11-Aug-99,1999-08-11,1999
211,Tom Clancy's Splinter Cell: Chaos Theory,PC,28-Mar-05,2005-03-28,2005
212,Final Fantasy XII,PlayStation2,31-Oct-06,2006-10-31,2006
213,Undertale,PlayStation4,15-Aug-17,2017-08-15,2017
214,Madden NFL 2003,GameCube,12-Aug-02,2002-08-12,2002
215,The Witcher 3: Wild Hunt,PlayStation4,19-May-15,2015-05-19,2015
216,Super Mario World: Super Mario Advance 2,GameBoyAdvance,09-Feb-02,2002-02-09,2002
217,ESPN NFL 2K5,Xbox,20-Jul-04,2004-07-20,2004
218,Super Smash Bros. Melee,GameCube,02-Dec-01,2001-12-02,2001
219,Madden NFL 2003,Xbox,12-Aug-02,2002-08-12,2002
220,Virtua Tennis,Dreamcast,08-Jun-00,2000-06-08,2000
221,Rome: Total War,PC,22-Sep-04,2004-09-22,2004
222,Forza Motorsport 3,Xbox360,27-Oct-09,2009-10-27,2009
223,Okami HD,PC,12-Dec-17,2017-12-12,2017
224,Undertale,PC,15-Sep-15,2015-09-15,2015
225,Batman: Arkham Asylum,Xbox360,25-Aug-09,2009-08-25,2009
226,Super Mario Sunshine,GameCube,25-Aug-02,2002-08-25,2002
227,SSX 3,Xbox,20-Oct-03,2003-10-20,2003
228,SoulCalibur II,Xbox,27-Aug-03,2003-08-27,2003
229,Tony Hawk's Pro Skater,PlayStation,31-Aug-99,1999-08-31,1999
230,Thief: The Dark Project,PC,30-Nov-98,1998-11-30,1998
231,Fire Emblem: Awakening,3DS,04-Feb-13,2013-02-04,2013
232,Age of Empires II: The Age of Kings,PC,30-Sep-99,1999-09-30,1999
233,Final Fantasy X,PlayStation2,17-Dec-01,2001-12-17,2001
234,Prince of Persia: The Sands of Time,GameCube,18-Nov-03,2003-11-18,2003
235,The Walking Dead: A Telltale Games Series,Xbox360,27-Apr-12,2012-04-27,2012
236,Unreal Tournament (1999),PC,30-Nov-99,1999-11-30,1999
237,Sid Meier's Alpha Centauri,PC,12-Feb-99,1999-02-12,1999
238,Wave Race 64,Nintendo64,01-Nov-96,1996-11-01,1996
239,Divinity: Original Sin II - Definitive Edition,PlayStation4,31-Aug-18,2018-08-31,2018
240,Galactic Civilizations II: Twilight of the Arnor,PC,30-Apr-08,2008-04-30,2008
241,Super Smash Bros. for Wii U,WiiU,21-Nov-14,2014-11-21,2014
242,Guitar Hero II,PlayStation2,07-Nov-06,2006-11-07,2006
243,Final Fantasy VII,PlayStation,03-Sep-97,1997-09-03,1997
244,Rock Band,PlayStation3,20-Nov-07,2007-11-20,2007
245,Chrono Trigger,DS,25-Nov-08,2008-11-25,2008
246,Bayonetta 2,Switch,16-Feb-18,2018-02-16,2018
247,Journey,PlayStation3,13-Mar-12,2012-03-13,2012
248,Xenoblade Chronicles,Wii,06-Apr-12,2012-04-06,2012
249,Conker's Bad Fur Day,Nintendo64,04-Mar-01,2001-03-04,2001
250,Medal of Honor,PlayStation,31-Oct-99,1999-10-31,1999
251,PaRappa the Rapper,PlayStation,31-Oct-97,1997-10-31,1997
252,Rock Band 2,Xbox360,14-Sep-08,2008-09-14,2008
253,Mario Kart 8 Deluxe,Switch,28-Apr-17,2017-04-28,2017
254,The ICO & Shadow of the Colossus Collection,PlayStation3,27-Sep-11,2011-09-27,2011
255,Rayman Origins,Wii,15-Nov-11,2011-11-15,2011
256,Metroid Prime 2: Echoes,GameCube,15-Nov-04,2004-11-15,2004
257,Out of the Park Baseball 17,PC,22-Mar-16,2016-03-22,2016
258,Metroid Fusion,GameBoyAdvance,17-Nov-02,2002-11-17,2002
