name,platform,r-date,developer,genre,players
NCAA Football 2004,PlayStation2,16-Jul-03,EASports,"Sports,Traditional,Football,Sim",08-Jan
God of War,PlayStation2,22-Mar-05,SCESantaMonica,"Action Adventure,Fantasy",1 Player
Star Wars: Knights of the Old Republic,Xbox,17-Jul-03,BioWare,"Role-Playing,Third-Person",1 Player
Sid Meier's Civilization IV,PC,25-Oct-05,FiraxisGames,"Strategy,Turn-Based,Historic,Historic,4X",Online Multiplayer
Madden NFL 2004,GameCube,12-Aug-03,EATiburon,"Sports,Traditional,Football,Sim",04-Jan
Virtua Fighter 4,PlayStation2,17-Mar-02,SegaAM2,"Action,Fighting,3D",02-Jan
Super Mario 64,Nintendo64,26-Sep-96,Nintendo,"Action,Platformer,3D",1 Player
The Witcher 3: Wild Hunt,PC,18-May-15,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",No Online Multiplayer
Burnout 3: Takedown,PlayStation2,07-Sep-04,CriterionGames,"Driving,Racing,Arcade",16-Jan
Super Smash Bros. Brawl,Wii,09-Mar-08,GameArts,"Action,Fighting,Fighting,3D,2D,3D",Up to 4 
Company of Heroes,PC,13-Sep-06,Relic,"Strategy,Real-Time,Historic,General,Historic",8  Online
Gran Turismo 2,PlayStation,30-Nov-99,PolyphonyDigital,"Driving,Racing,GT / Street",02-Jan
The Last of Us Part II,PlayStation4,19-Jun-20,NaughtyDog,"General,Action Adventure,Survival",No Online Multiplayer
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,23-Mar-04,UbisoftShanghai,"Action Adventure,Modern",04-Jan
Grand Theft Auto: Chinatown Wars,DS,17-Mar-09,RockstarLeeds,"Action Adventure,Modern,Modern,Open-World",No info
Divinity: Original Sin II - Definitive Edition,Switch,04-Sep-19,"LarianStudiosGames,BlitWorks,TheDragonCommanders","Role-Playing,Western-Style",Up to 4 
Pac-Man Championship Edition DX,Xbox360,17-Nov-10,NamcoBandaiGames,"Adventure,General,Action,General,General,Arcade",No info
Street Fighter Alpha 3,PlayStation,30-Apr-99,Capcom,"Action,Fighting,2D",02-Jan
Tony Hawk's Pro Skater 3,Xbox,04-Mar-02,NeversoftEntertainment,"Sports,Alternative,Skateboarding",04-Jan
Hades,Switch,17-Sep-20,SupergiantGames,"Action Adventure,General,Linear",No Online Multiplayer
Half-Life: Alyx,PC,23-Mar-20,ValveSoftware,"Action,First-Person,Shooter,Arcade",No Online Multiplayer
Divinity: Original Sin II,PC,14-Sep-17,LarianStudiosGames,"Action RPG,Role-Playing,Western-Style",Up to 4 
Unreal Tournament 2004,PC,16-Mar-04,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-32 
BioShock Infinite,Xbox360,26-Mar-13,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
Braid,Xbox360,06-Aug-08,NumberNoneInc.,"Action,Platformer,Platformer,2D,2D",1 Player
God of War II,PlayStation2,13-Mar-07,SCESantaMonica,"Action Adventure,Fantasy",1 Player
Super Mario 3D World,WiiU,22-Nov-13,Nintendo,"Platformer,3D,Action,Platformer,3D",No Online Multiplayer
Ori and the Will of the Wisps,Switch,17-Sep-20,MoonStudios,"Action,Platformer,2D",No Online Multiplayer
Starcraft II: Wings of Liberty,PC,27-Jul-10,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Command",Up to 4 
SSX,PlayStation2,30-Oct-00,EASportsBig,"Sports,Alternative,Snowboarding",02-Jan
Street Fighter IV,Xbox360,17-Feb-09,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2  Online
Minecraft,PC,18-Nov-11,MojangAB,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",Up to 10 
Undertale,Switch,18-Sep-18,"tobyfox,8-4","Role-Playing,Japanese-Style",No Online Multiplayer
Persona 4 Golden,PlayStationVita,20-Nov-12,Atlus,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",Up to 40 
Persona 5,PlayStation4,04-Apr-17,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer
Red Dead Redemption 2,PC,05-Nov-19,RockstarGames,"Action Adventure,Open-World",Up to 32 
SSX 3,PlayStation2,20-Oct-03,EACanada,"Sports,Alternative,Snowboarding",02-Jan
Tom Clancy's Splinter Cell,Xbox,17-Nov-02,UbisoftMontreal,"Action Adventure,Modern",1 Player
Grand Theft Auto III,PC,20-May-02,"DMADesign,RockstarNorth","Action Adventure,Modern,Modern,Open-World",No Online Multiplayer
Quake III Arena,Dreamcast,22-Oct-00,Raster,"Action,Shooter,First-Person,Sci-Fi",No info
Homeworld,PC,31-Aug-99,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",08-Jan
Okami,PlayStation2,19-Sep-06,CloverStudio,"Action Adventure,Fantasy",1 Player
The Elder Scrolls IV: Oblivion,PlayStation3,20-Mar-07,4JStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer
Fallout 3,Xbox360,28-Oct-08,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer
Gears of War 2,Xbox360,07-Nov-08,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",02-Jan
SoulCalibur II,GameCube,27-Aug-03,Namco,"Action,Fighting,3D",02-Jan
World Soccer Winning Eleven 6 International,PlayStation2,11-Mar-03,KCET,"Sports,Traditional,Soccer,Sim",08-Jan
NFL 2K3,PlayStation2,12-Aug-02,VisualConcepts,"Sports,Traditional,Football,Sim",02-Jan
Mass Effect 3,Xbox360,06-Mar-12,BioWare,"Role-Playing,Action RPG,Action RPG",Up to 4 
Metal Gear Solid V: The Phantom Pain,PlayStation4,01-Sep-15,"KojimaProductions,MobyDickStudio","Modern,Action Adventure,Modern,Open-World",Up to 16 
Skies of Arcadia,Dreamcast,13-Nov-00,Overworks,"Role-Playing,Console-style RPG",No info
The Legend of Zelda: Skyward Sword,Wii,20-Nov-11,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer
Mario Kart Super Circuit,GameBoyAdvance,26-Aug-01,IntelligentSystems,"Driving,Racing,Kart",04-Jan
Rock Band 3,Xbox360,26-Oct-10,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",No info
Viewtiful Joe,GameCube,07-Oct-03,CloverStudio,"Action,Beat-'Em-Up",1 Player
Test Drive Le Mans,Dreamcast,13-Nov-00,MelbourneHouse,"Driving,Racing,GT / Street",No info
NBA 2K1,Dreamcast,01-Nov-00,VisualConcepts,"Sports,Traditional,Basketball,Sim",No info
Castlevania: Symphony of the Night,PlayStation,02-Oct-97,Konami,"Action,Platformer,2D",1 Player
Star Wars: Knights of the Old Republic,PC,18-Nov-03,BioWare,"Role-Playing,Third-Person,Third-Person,General",No Online Multiplayer
Virtua Fighter 4: Evolution,PlayStation2,13-Aug-03,Sega,"Action,Fighting,3D",02-Jan
Uncharted 4: A Thief's End,PlayStation4,10-May-16,NaughtyDog,"General,Modern,Action Adventure,Linear",Up to 10 
Super Smash Bros. Ultimate,Switch,07-Dec-18,"Nintendo,HALLabs,BandaiNamcoGames,SoraLtd.","Action,Fighting,2D",Up to 8 
Braid,PlayStation3,12-Nov-09,"HotheadGames,NumberNoneInc.","Action,Platformer,Platformer,2D,2D",1 Player
Mass Effect 3,PlayStation3,05-Mar-12,BioWare,"Role-Playing,Action RPG,Action RPG",Up to 4 
Paper Mario,Nintendo64,05-Feb-01,IntelligentSystems,"Role-Playing,Console-style RPG",No info
Wipeout XL,PlayStation,30-Sep-96,Psygnosis,"Driving,Racing,Futuristic",02-Jan
Grand Theft Auto: San Andreas,Xbox,07-Jun-05,RockstarNorth,"Action Adventure,Modern",02-Jan
Resident Evil 2,XboxOne,25-Jan-19,CapcomR&DDivision1,"Action Adventure,Survival",No Online Multiplayer
INSIDE,XboxOne,29-Jun-16,PLAYDEAD,"Action,Platformer,2D",No info
World of Warcraft,PC,23-Nov-04,BlizzardEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer
Grand Theft Auto: San Andreas,PC,07-Jun-05,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer
Flipnote Studio,DS,12-Aug-09,Nintendo,"Miscellaneous,General,Application",No info
World Soccer Winning Eleven 7 International,PlayStation2,17-Feb-04,KCET,"Sports,Traditional,Soccer,Sim",08-Jan
NBA 2K2,Dreamcast,24-Oct-01,VisualConcepts,"Sports,Traditional,Basketball,Sim",No info
SoulCalibur II,PlayStation2,27-Aug-03,Namco,"Action,Fighting,3D",02-Jan
The Elder Scrolls V: Skyrim,PlayStation3,11-Nov-11,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer
Hades,PC,17-Sep-20,SupergiantGames,"Action Adventure,General,Linear",No Online Multiplayer
Prince of Persia: The Sands of Time,Xbox,12-Nov-03,Ubisoft,"Action Adventure,Fantasy",1 Player
Call of Duty 4: Modern Warfare,PC,05-Nov-07,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 
Forza Horizon 4,XboxOne,28-Sep-18,PlaygroundGames,"Racing,Simulation,Automobile",Up to 12 
God of War III,PlayStation3,16-Mar-10,SCESantaMonica,"Action Adventure,Fantasy,Fantasy,Linear",No Online Multiplayer
Divinity: Original Sin II - Definitive Edition,XboxOne,31-Aug-18,LarianStudiosGames,"Role-Playing,Western-Style",Online Multiplayer
NFL 2K3,GameCube,21-Aug-02,VisualConcepts,"Sports,Traditional,Football,Sim",04-Jan
SSX Tricky,PlayStation2,05-Nov-01,EACanada,"Sports,Alternative,Snowboarding",02-Jan
NHL 2002,PlayStation2,24-Sep-01,EASports,"Sports,Traditional,Ice Hockey,Sim",08-Jan
Guitar Hero II,Xbox360,03-Apr-07,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",02-Jan
Prince of Persia: The Sands of Time,PlayStation2,06-Nov-03,Ubisoft,"Action Adventure,Fantasy",1 Player
Uncharted 3: Drake's Deception,PlayStation3,01-Nov-11,NaughtyDog,"Action Adventure,Modern,Modern,Linear",Up to 10 
Rock Band,Xbox360,20-Nov-07,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",4  Online
Journey,PlayStation4,21-Jul-15,TrickyPixels,"Action,Platformer,3D",2
Bloodborne,PlayStation4,24-Mar-15,FromSoftware,"Fantasy,Role-Playing,Action Adventure,General,Action RPG",Up to 5 
Eternal Darkness: Sanity's Requiem,GameCube,23-Jun-02,SiliconKnights,"Action Adventure,Horror",1 Player
Warcraft III: Reign of Chaos,PC,03-Jul-02,BlizzardEntertainment,"Strategy,Real-Time,Fantasy,General,Fantasy",No info
SSX 3,GameCube,20-Oct-03,EACanada,"Sports,Alternative,Snowboarding",02-Jan
The Sims,PC,04-Feb-00,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",
Banjo-Kazooie,Nintendo64,31-May-98,RareLtd.,"Action,Platformer,3D",1 Player
