,platform,genre,players
129,WiiU,Platformer,No Online Multiplayer
129,WiiU,3D,No Online Multiplayer
129,WiiU,Action,No Online Multiplayer
129,WiiU,Platformer,No Online Multiplayer
129,WiiU,3D,No Online Multiplayer
130,Switch,Action,No Online Multiplayer
130,Switch,Platformer,No Online Multiplayer
130,Switch,2D,No Online Multiplayer
131,PC,Strategy,Up to 4 
131,PC,Real-Time,Up to 4 
131,PC,Sci-Fi,Up to 4 
132,PlayStation2,Sports,02-Jan
133,Xbox360,Action,2  Online
133,Xbox360,Fighting,2  Online
133,Xbox360,Fighting,2  Online
133,Xbox360,3D,2  Online
133,Xbox360,2D,2  Online
133,Xbox360,3D,2  Online
134,PC,Action Adventure,Up to 10 
134,PC,Adventure,Up to 10 
134,PC,3D,Up to 10 
134,PC,First-Person,Up to 10 
134,PC,Fantasy,Up to 10 
134,PC,Fantasy,Up to 10 
135,Switch,Role-Playing,No Online Multiplayer
135,Switch,Japanese-Style,No Online Multiplayer
137,PlayStation4,Role-Playing,No Online Multiplayer
137,PlayStation4,Japanese-Style,No Online Multiplayer
139,PlayStation2,Sports,02-Jan
140,Xbox,Action Adventure,1 Player
140,Xbox,Modern,1 Player
141,PC,Action Adventure,No Online Multiplayer
141,PC,Modern,No Online Multiplayer
141,PC,Modern,No Online Multiplayer
141,PC,Open-World,No Online Multiplayer
143,PC,Strategy,08-Jan
143,PC,Real-Time,08-Jan
143,PC,Sci-Fi,08-Jan
143,PC,Sci-Fi,08-Jan
143,PC,General,08-Jan
144,PlayStation2,Action Adventure,1 Player
144,PlayStation2,Fantasy,1 Player
145,PlayStation3,Role-Playing,No Online Multiplayer
145,PlayStation3,First-Person,No Online Multiplayer
145,PlayStation3,First-Person,No Online Multiplayer
146,Xbox360,Role-Playing,No Online Multiplayer
146,Xbox360,First-Person,No Online Multiplayer
146,Xbox360,First-Person,No Online Multiplayer
147,Xbox360,Action,02-Jan
147,Xbox360,Shooter,02-Jan
147,Xbox360,Shooter,02-Jan
147,Xbox360,Third-Person,02-Jan
147,Xbox360,Sci-Fi,02-Jan
147,Xbox360,Sci-Fi,02-Jan
147,Xbox360,Arcade,02-Jan
148,GameCube,Action,02-Jan
148,GameCube,Fighting,02-Jan
148,GameCube,3D,02-Jan
149,PlayStation2,Sports,08-Jan
149,PlayStation2,Traditional,08-Jan
149,PlayStation2,Sim,08-Jan
150,PlayStation2,Sports,02-Jan
150,PlayStation2,Traditional,02-Jan
150,PlayStation2,Sim,02-Jan
151,Xbox360,Role-Playing,Up to 4 
151,Xbox360,Action RPG,Up to 4 
151,Xbox360,Action RPG,Up to 4 
152,PlayStation4,Modern,Up to 16 
152,PlayStation4,Action Adventure,Up to 16 
152,PlayStation4,Modern,Up to 16 
152,PlayStation4,Open-World,Up to 16 
154,Wii,Action Adventure,No Online Multiplayer
154,Wii,Fantasy,No Online Multiplayer
154,Wii,General,No Online Multiplayer
154,Wii,Fantasy,No Online Multiplayer
154,Wii,Open-World,No Online Multiplayer
155,GameBoyAdvance,Driving,04-Jan
155,GameBoyAdvance,Racing,04-Jan
157,GameCube,Action,1 Player
157,GameCube,Beat-'Em-Up,1 Player
160,PlayStation,Action,1 Player
160,PlayStation,Platformer,1 Player
160,PlayStation,2D,1 Player
161,PC,Role-Playing,No Online Multiplayer
161,PC,Third-Person,No Online Multiplayer
161,PC,Third-Person,No Online Multiplayer
161,PC,General,No Online Multiplayer
162,PlayStation2,Action,02-Jan
162,PlayStation2,Fighting,02-Jan
162,PlayStation2,3D,02-Jan
163,PlayStation4,General,Up to 10 
163,PlayStation4,Modern,Up to 10 
163,PlayStation4,Action Adventure,Up to 10 
164,Switch,Action,Up to 8 
164,Switch,Fighting,Up to 8 
164,Switch,2D,Up to 8 
165,PlayStation3,Action,1 Player
165,PlayStation3,Platformer,1 Player
165,PlayStation3,Platformer,1 Player
165,PlayStation3,2D,1 Player
165,PlayStation3,2D,1 Player
166,PlayStation3,Role-Playing,Up to 4 
166,PlayStation3,Action RPG,Up to 4 
166,PlayStation3,Action RPG,Up to 4 
168,PlayStation,Driving,02-Jan
168,PlayStation,Racing,02-Jan
169,Xbox,Action Adventure,02-Jan
169,Xbox,Modern,02-Jan
170,XboxOne,Action Adventure,No Online Multiplayer
170,XboxOne,Survival,No Online Multiplayer
172,PC,Role-Playing,Massively Multiplayer
172,PC,Fantasy,Massively Multiplayer
172,PC,Fantasy,Massively Multiplayer
173,PC,Action Adventure,No Online Multiplayer
173,PC,Modern,No Online Multiplayer
173,PC,Modern,No Online Multiplayer
173,PC,Open-World,No Online Multiplayer
175,PlayStation2,Sports,08-Jan
175,PlayStation2,Traditional,08-Jan
175,PlayStation2,Sim,08-Jan
177,PlayStation2,Action,02-Jan
177,PlayStation2,Fighting,02-Jan
177,PlayStation2,3D,02-Jan
178,PlayStation3,Role-Playing,No Online Multiplayer
178,PlayStation3,First-Person,No Online Multiplayer
178,PlayStation3,First-Person,No Online Multiplayer
179,PC,Action Adventure,No Online Multiplayer
179,PC,General,No Online Multiplayer
180,Xbox,Action Adventure,1 Player
180,Xbox,Fantasy,1 Player
182,XboxOne,Racing,Up to 12 
182,XboxOne,Simulation,Up to 12 
182,XboxOne,Automobile,Up to 12 
183,PlayStation3,Action Adventure,No Online Multiplayer
183,PlayStation3,Fantasy,No Online Multiplayer
183,PlayStation3,Fantasy,No Online Multiplayer
184,XboxOne,Role-Playing,Online Multiplayer
185,GameCube,Sports,04-Jan
185,GameCube,Traditional,04-Jan
185,GameCube,Sim,04-Jan
186,PlayStation2,Sports,02-Jan
187,PlayStation2,Sports,08-Jan
187,PlayStation2,Traditional,08-Jan
187,PlayStation2,Sim,08-Jan
188,Xbox360,Action,02-Jan
188,Xbox360,Miscellaneous,02-Jan
188,Xbox360,Music,02-Jan
188,Xbox360,Music,02-Jan
189,PlayStation2,Action Adventure,1 Player
